ident,npd,total_qty,iso_count,rows
C7SMNYWH,8,2.0,2,2
C7SN7J06,36,3.0,2,2
C7SNM2BD,2,2.0,2,2
C7T63YAU,1,40.0,35,40
C7T63YAX,2,8.0,8,8
C7TCS1ZV,3/4,3.0,3,3
C7V61SDZ,10,1.0,1,1
C7V61SE4,2,6.0,3,3
C7V61SEE,8,9.0,3,3
C7W2U477,3/4,2.0,2,2
C7W2U478,1,34.0,32,34
C7W2U47F,2,3.0,3,3
C7W2U47H,3,1.0,1,1
C7W2U47N,8,2.0,2,2
C7W2U48K,3/4,15.0,5,5
C7W2U48L,1,146.0,58,60
C7W2U48P,2,15.0,7,7
C7W2U48S,3/4,13.0,13,13
C7W3AL3K,3/4,13.0,13,13
C7W3AL3L,1,26.0,11,11
C7WHDV5R,36,2.0,2,2
C80R6Y1H,1,11.0,11,11
C80R6Y1R,2,2.0,2,2
C80T8DJ0,1,2.0,1,1
C80U8UAY,1/2,5.0,5,5
C80U8UAZ,3/4,2.0,2,2
C84KV7CX,2,4.0,4,4
C84KV7D0,4,4.0,4,4
C84KV7D1,6,1.0,1,1
C84MWBGZ,24,1.0,1,1
C84MWBH0,6,2.0,2,2
C8ADWXKM,2,4.0,4,4
C8ELT53D,1,1.0,1,1
C8GWJY7T,2,683.7,19,21
C8P7NJJW,10,1.0,1,1
C8P7NJJY,4,1.0,1,1
C8P7NJJZ,6,2.0,2,2
C8P7NJK0,8,13.0,11,13
C8PLE444,8,6.0,6,6
C8RR9V35,1/2,2.0,2,2
C8RR9V36,3/4,5.0,3,3
C8RR9V37,1,22.0,18,22
C8RR9V39,2,13.0,9,9
C8RR9V3B,3,13.0,13,13
C8YJYLYU,8,2.0,2,2
C926162,1,3.0,2,3
C99ZZ9D0,1/2,2.0,2,2
C99ZZ9D2,1,21.0,20,21
C99ZZ9D4,2,3.0,3,3
C99ZZ9D7,10,2.0,2,2
C99ZZ9D9,4,1.0,1,1
C99ZZ9DA,6,3.0,3,3
C99ZZ9DB,8,5.0,5,5
C99ZZ9DE,1,9.0,9,9
C99ZZ9DH,2,1.0,1,1
C99ZZ9E8,6,2.0,2,2
C99ZZ9EE,1,1.0,1,1
C99ZZ9EG,4,2.0,2,2
C99ZZ9EJ,6,11.0,10,10
C99ZZ9EK,8,2.0,2,2
C9CT3XUN,36,4.0,3,3
C9P77RM8,1,1.0,1,1
C9PNU7C2,3/4,16.0,2,2
C9PNU7E1,3/4,32.0,3,3
C9PNU7FL,7/8,12.0,1,1
C9T8B34P,3/4,2.0,2,2
C9YR0U5Z,2,1.0,1,1
C9YZMJSH,36,2.0,1,1
C9ZLHEWH,3/4,2.0,2,2
CBBPLK2,1/2,9.0,8,8
CBBPLK3,3/4,8.0,8,8
CBBPLK4,1,31.0,31,31
CEZCLUC,1,1.7,4,4
CEZCLWH,2,188.79999999999998,14,14
CEZMKL0,1,41.0,32,33
CF5AB9Z,2,2.0,2,2
CFG6WM5T,3/4,2.0,2,2
CFG6WM5U,1,2.0,1,1
CFG6WM60,16,1.0,1,1
CFG6WM62,2,2.0,2,2
CFG6WM66,3,2.0,2,2
CFG6WM6X,1/2,1.0,1,1
CFG6WM6Z,1,5.0,5,5
CFG6WM77,2,3.0,3,3
CFG70G7Y,3/4,2.0,2,2
CFG70GLP,3/4,2.0,2,2
CFG8U73X,3/4,4.0,4,4
CFG8U73Y,1,7.0,4,4
CFG8U743,1,1.0,1,1
CGKFEG5T,1/2,3.0,3,3
CGKFEG5U,3/4,3.0,3,3
CGKFEG5V,1,3.0,2,2
CGKFEG62,18,2.0,2,2
CGKFEG63,2,19.0,10,10
CGKFEG67,24,13.0,6,6
CGKFEG6E,6,3.0,3,3
CPPD3S11,1/2,6.2,4,4
CPPD3S1M,3/4,3.4000000000000004,2,2
CPPD3S28,1,458.9,17,17
CZ2LEZD,3/4,2.0,2,2
CZ2LEZE,1,33.0,26,26
CZ2LEZH,2,16.0,13,13
PS-NM102,8,1.0,1,1
PS-NM104,8,3.0,3,3
PS-NM107,8,1.0,1,1
PS-NM110,10,1.0,1,1
PS-NM122,10,1.0,1,1
PS-NM130,10,1.0,1,1
PS101,2,6.0,2,2
PS105,1,32.0,13,13
PS105,2,10.0,2,2
PS107,8,4.0,2,3
PS108,2,2.0,1,2
PS201,1,193.0,78,79
PS201,12,2.0,2,2
PS201,2,111.0,41,43
PS201,3/4,11.0,5,5
PS201,4,5.0,4,4
PS201,6,2.0,2,2
PS201,8,12.0,6,6
PS202,2,1.0,1,1
PS203,12,5.0,5,5
PS203,20,1.0,1,1
PS203,24,1.0,1,1
PS203,4,2.0,2,2
PS203,6,2.0,2,2
PS203,8,2.0,2,2
PS204,1,26.0,17,17
PS204,10,6.0,4,4
PS204,14,4.0,2,2
PS204,2,37.0,16,16
PS204,20,1.0,1,1
PS204,24,4.0,3,3
PS204,3,21.0,9,9
PS204,36,7.0,4,4
PS204,4,15.0,12,12
PS204,6,27.0,13,13
PS204,8,62.0,43,46
PS205,1,12.0,8,9
PS205,10,4.0,2,2
PS205,12,2.0,2,2
PS205,16,10.0,4,4
PS205,2,5.0,4,4
PS205,20,2.0,1,1
PS205,24,2.0,1,1
PS205,3,1.0,1,1
PS205,4,2.0,2,2
PS205,6,1.0,1,1
PS206,1,2.0,2,2
PS206,10,2.0,2,2
PS206,14,1.0,1,1
PS206,2,5.0,5,5
PS206,24,2.0,2,2
PS206,3,3.0,3,3
PS206,4,5.0,5,5
PS206,6,10.0,10,10
PS206,8,30.0,27,29
PS207,36,2.0,2,2
PS209,10,2.0,2,2
PS209,14,1.0,1,1
PS209,24,1.0,1,1
PS209,4,14.0,14,14
PS209,6,22.0,21,22
PS209,8,14.0,12,13
PS210,1,53.0,42,42
PS210,2,11.0,9,9
PS210,3,1.0,1,1
PS210,4,2.0,2,2
PS211,1,8.0,8,8
PS212,1,31.0,27,27
PS212,1/2,6.0,2,2
PS212,2,3.0,3,3
PS212,8,1.0,1,1
PS213,1,12.0,12,12
PS213,2,2.0,2,2
PS214,10,2.0,2,2
PS214,14,1.0,1,1
PS214,4,17.0,14,14
PS214,6,27.0,24,24
PS214,8,10.0,8,8
PS218,4,2.0,2,2
PS218,6,2.0,2,2
PS218,8,2.0,2,2
PS219,10,5.0,5,5
PS219,6,5.0,5,5
