iso,ident,npd,total_qty
6820-R2-67296-03,C76KHSRP,3/4,1.0
6820-R2-67296-03,C7CT1ZFG,3/4,2.0
6820-R2-67296-03,C7W2U477,3/4,1.0
6820-R2-67296-04,C6S4K87U,1/2,8.0
6820-R2-67296-04,C76KHSRP,3/4,1.0
6820-R2-67296-04,C7CT1ZFG,3/4,2.0
6820-R2-67296-04,C7W2U477,3/4,1.0
6820-R2-67296-05,C6S4K87V,1/2,8.0
6820-R2-67296-06,C6S4K87V,1/2,8.0
6820-R2-67299-01,C7CT1ZFW,24,3.0
6820-R2-67299-01,C84MWBGZ,24,1.0
6820-R2-67299-01,PS902,24,1.0
6820-R2-67299-02,C7CT1ZFW,24,1.0
6820-R2-67300-01,C6S4K87L,3,2.0
6820-R2-67300-01,C6S4K88S,5/8,8.0
6820-R2-67300-01,C8RR9V3B,3,1.0
6820-R2-67301-01,C6S4K87V,1/2,8.0
6820-R2-67302-01,C6S4K87L,3,2.0
6820-R2-67302-01,C6S4K88S,5/8,8.0
6820-R2-67302-01,C8RR9V3B,3,1.0
6820-R2-67303-01,C6S4K87V,1/2,8.0
6820-R2-67305-01,C6S4K87V,1/2,8.0
6820-R2-67308-01,C6S4K87V,1/2,8.0
6820-R2-67309-01,C6S4K87V,1/2,8.0
6820-R2-67310-01,C6S4K87V,1/2,8.0
6820-R2-67312-01,C1DMWEC,1,1.0
6820-R2-67312-01,C1DMWEK,1,5.0
6820-R2-67312-01,C1DR2JM,1,3.0
6820-R2-67312-01,C1DR2JV,1,1.0
6820-R2-67312-01,C5FX5BU,1/2,2.0
6820-R2-67312-01,C6S4K87U,1/2,12.0
6820-R2-67312-01,C76KHSRZ,1,3.0
6820-R2-67312-01,C76RJXHV,1,1.0
6820-R2-67312-01,CPPD3S11,1/2,1.7
6820-R2-67312-01,CPPD3S28,1,33.7
6820-R2-67312-01,CZ2LEZE,1,1.0
6820-R2-67312-01,PS201,1,4.0
6820-R2-67312-01,PS210,1,1.0
6820-R2-67312-01,PS433,1,5.0
6820-R2-67313-01,C1DMWEK,1,5.0
6820-R2-67313-01,C1DR2JM,1,2.0
6820-R2-67313-01,C6S4K87U,1/2,8.0
6820-R2-67313-01,C76KHSRZ,1,2.0
6820-R2-67313-01,C76RJXHV,1,1.0
6820-R2-67313-01,CPPD3S28,1,34.8
6820-R2-67313-01,PS201,1,4.0
6820-R2-67313-01,PS210,1,1.0
6820-R2-67313-01,PS433,1,4.0
6820-R2-67313-01,PS712,1,4.0
6820-R2-67313-01,PS713,1,1.0
6820-R2-67313-02,C1DMWEK,1,4.0
6820-R2-67313-02,CPPD3S28,1,43.3
6820-R2-67313-02,CZ2LEZE,1,1.0
6820-R2-67313-02,PS201,1,4.0
6820-R2-67313-02,PS210,1,2.0
6820-R2-67313-02,PS221,1,1.0
6820-R2-67313-02,PS433,1,5.0
6820-R2-67313-02,PS709,1,1.0
6820-R2-67313-02,PS712,1,5.0
6820-R2-67313-02,PS713,1,1.0
6820-R2-67313-03,C1DMWEK,1,3.0
6820-R2-67313-03,C1DR2JM,1,3.0
6820-R2-67313-03,C1DR2JV,1,1.0
6820-R2-67313-03,C5FX5BU,1/2,2.0
6820-R2-67313-03,C6S4K87U,1/2,12.0
6820-R2-67313-03,C76KHSRZ,1,3.0
6820-R2-67313-03,C76RJXHV,1,1.0
6820-R2-67313-03,CPPD3S11,1/2,1.2
6820-R2-67313-03,CPPD3S28,1,17.4
6820-R2-67313-03,CZ2LEZE,1,1.0
6820-R2-67313-03,PS201,1,1.0
6820-R2-67313-03,PS433,1,3.0
6820-R2-67313-03,PS712,1,1.0
6820-R2-67314-01,C1DMWEK,1,5.0
6820-R2-67314-01,C1DR2JM,1,3.0
6820-R2-67314-01,C1DR2JV,1,1.0
6820-R2-67314-01,C5FX5BU,1/2,2.0
6820-R2-67314-01,C6S4K87U,1/2,12.0
6820-R2-67314-01,C76KHSRZ,1,3.0
6820-R2-67314-01,C76RJXHV,1,1.0
6820-R2-67314-01,CPPD3S11,1/2,1.8
6820-R2-67314-01,CPPD3S28,1,33.8
6820-R2-67314-01,CZ2LEZE,1,1.0
6820-R2-67314-01,PS201,1,5.0
6820-R2-67314-01,PS210,1,1.0
6820-R2-67314-01,PS221,1,1.0
6820-R2-67314-01,PS433,1,5.0
6820-R2-67314-01,PS709,1,1.0
6820-R2-67314-01,PS711,1,2.0
6820-R2-67314-01,PS717,1,1.0
6820-R2-67314-01,PS718,1,2.0
6820-R2-67314-01,PS719,1,2.0
6820-R2-67315-01,C1DMWEK,1,7.0
6820-R2-67315-01,C1DR2JM,1,2.0
6820-R2-67315-01,C6S4K87U,1/2,8.0
6820-R2-67315-01,C76KHSRZ,1,2.0
6820-R2-67315-01,C76RJXHV,1,1.0
6820-R2-67315-01,CPPD3S28,1,52.4
6820-R2-67315-01,PS201,1,4.0
6820-R2-67315-01,PS210,1,2.0
6820-R2-67315-01,PS221,1,1.0
6820-R2-67315-01,PS433,1,5.0
6820-R2-67315-01,PS712,1,1.0
6820-R2-67315-02,C1DMWEK,1,7.0
6820-R2-67315-02,CPPD3S28,1,63.7
6820-R2-67315-02,CZ2LEZE,1,2.0
6820-R2-67315-02,PS201,1,8.0
6820-R2-67315-02,PS210,1,2.0
6820-R2-67315-02,PS221,1,2.0
6820-R2-67315-02,PS433,1,9.0
6820-R2-67315-02,PS712,1,1.0
6820-R2-67315-02,PS719,1,1.0
6820-R2-67315-03,C1DMWEK,1,2.0
6820-R2-67315-03,C1DR2JM,1,3.0
6820-R2-67315-03,C1DR2JV,1,1.0
6820-R2-67315-03,C5FX5BU,1/2,2.0
6820-R2-67315-03,C6S4K87U,1/2,12.0
6820-R2-67315-03,C76KHSRZ,1,3.0
6820-R2-67315-03,C76RJXHV,1,1.0
6820-R2-67315-03,CPPD3S11,1/2,1.5
6820-R2-67315-03,CPPD3S28,1,17.5
6820-R2-67315-03,CZ2LEZE,1,1.0
6820-R2-67315-03,PS201,1,2.0
6820-R2-67315-03,PS433,1,3.0
6820-R2-67315-03,PS709,1,2.0
6820-R2-67317-01,C6S4K8EA,1,16.0
6820-R2-67317-01,C76KJLFK,16,1.0
6820-R2-67317-01,CFG6WM60,16,1.0
6820-R2-67317-01,PS433,16,1.0
6820-R2-67317-02,PS433,16,3.0
6820-R2-67318-02,C6S4K8BF,3/4,12.0
6820-R2-67318-02,C6S4K8CT,7/8,12.0
6820-R2-67318-02,CGKFEG6E,6,1.0
6820-R2-67318-02,PS205,10,2.0
6820-R2-67319-01,C7SMNYW4,10,1.0
6820-R2-67319-01,PS203,12,1.0
6820-R2-67319-01,PS433,12,1.0
6820-R2-67320-02,C6S4K8BF,3/4,12.0
6820-R2-67320-02,C6S4K8CS,7/8,12.0
6820-R2-67320-02,CGKFEG6E,6,1.0
6820-R2-67320-02,PS205,10,2.0
6820-R2-67321-01,C6S4K87T,1/2,16.0
6820-R2-67321-01,C6S4K87U,1/2,4.0
6820-R2-67321-01,C76SNTEW,3/4,5.0
6820-R2-67321-01,C7TCS1ZV,3/4,1.0
6820-R2-67321-01,C8RR9V36,3/4,2.0
6820-R2-67321-01,C9ZLHEWH,3/4,1.0
6820-R2-67322-01,C6S4K87F,1,3.0
6820-R2-67322-01,C6S4K87J,2,1.0
6820-R2-67322-01,C6S4K87T,1/2,4.0
6820-R2-67322-01,C6S4K87U,1/2,16.0
6820-R2-67322-01,C6S4K88P,5/8,4.0
6820-R2-67322-01,C76SNTEW,3/4,2.0
6820-R2-67322-01,C7TCS1ZV,3/4,1.0
6820-R2-67322-01,C8RR9V36,3/4,1.0
6820-R2-67322-01,C8RR9V37,1,1.0
6820-R2-67322-01,PS703,1,1.0
6820-R2-67323-01,C6S4K87T,1/2,16.0
6820-R2-67323-01,C6S4K87U,1/2,4.0
6820-R2-67323-01,C76SNTEW,3/4,5.0
6820-R2-67323-01,C7TCS1ZV,3/4,1.0
6820-R2-67323-01,C8RR9V36,3/4,2.0
6820-R2-67323-01,C9ZLHEWH,3/4,1.0
6820-R2-67327-01,C1JW6P1S,2,1.0
6820-R2-67327-01,C6S4K8CX,7/8,24.0
6820-R2-67327-01,C7CX7CSU,8,2.0
6820-R2-67327-01,C8ADWXKM,2,1.0
6820-R2-67327-01,C99ZZ9EK,8,1.0
6820-R2-67327-01,PS204,8,1.0
6820-R2-67327-01,PS219,8,1.0
6820-R2-67327-01,PS407,8,1.0
6820-R2-67327-02,C6S4K8BD,3/4,16.0
6820-R2-67327-02,C6S4K8BE,3/4,8.0
6820-R2-67327-02,C7CX7CSR,4,4.0
6820-R2-67327-02,PS209,4,1.0
6820-R2-67327-02,PS214,4,1.0
6820-R2-67327-02,PS218,4,1.0
6820-R2-67328-01,C1JW6P1S,2,1.0
6820-R2-67328-01,C6S4K8CX,7/8,24.0
6820-R2-67328-01,C7CX7CSU,8,2.0
6820-R2-67328-01,C8ADWXKM,2,1.0
6820-R2-67328-01,C99ZZ9EK,8,1.0
6820-R2-67328-01,PS204,8,1.0
6820-R2-67328-01,PS219,8,1.0
6820-R2-67328-01,PS407,8,1.0
6820-R2-67328-02,C6S4K8BD,3/4,16.0
6820-R2-67328-02,C6S4K8BE,3/4,8.0
6820-R2-67328-02,C7CX7CSR,4,4.0
6820-R2-67328-02,PS209,4,1.0
6820-R2-67328-02,PS214,4,1.0
6820-R2-67328-02,PS218,4,1.0
6820-R2-67329-01,C6S4K87R,6,1.0
6820-R2-67329-01,C6S4K8BD,3/4,8.0
6820-R2-67329-01,C6S4K8CU,7/8,24.0
6820-R2-67329-01,C6SBWZET,10,2.0
6820-R2-67329-01,C99ZZ9D7,10,1.0
6820-R2-67329-01,PS214,10,1.0
6820-R2-67329-01,PS219,10,1.0
6820-R2-67329-02,C6S4K87E,6,1.0
6820-R2-67329-02,C6S4K87R,6,2.0
6820-R2-67329-02,C6S4K8BD,3/4,12.0
6820-R2-67329-02,C6S4K8BE,3/4,8.0
6820-R2-67329-02,PS209,6,1.0
6820-R2-67329-02,PS214,6,1.0
6820-R2-67329-02,PS218,6,1.0
6820-R2-67329-03,C6S4K87F,1,2.0
6820-R2-67329-03,C6S4K87U,1/2,8.0
6820-R2-67329-03,C7T63YAU,1,1.0
6820-R2-67329-03,C99ZZ9D2,1,1.0
6820-R2-67330-01,C6S4K8CT,7/8,12.0
6820-R2-67330-01,C7CT1ZFL,10,1.0
6820-R2-67330-01,PS203,12,1.0
6820-R2-67333-02,C76N9VBG,1,3.0
6820-R2-67333-02,CBBPLK4,1,1.0
6820-R2-67333-02,PS210,1,1.0
6820-R2-67334-03,PS210,1,1.0
6820-R2-67334-04,C76N9VBG,1,3.0
6820-R2-67334-04,CBBPLK4,1,1.0
6820-R2-67334-04,PS210,1,1.0
6820-R2-67334-04,PS221,1,1.0
6820-R2-67335-03,C76N9VBG,1,3.0
6820-R2-67335-03,CBBPLK4,1,1.0
6820-R2-67335-03,PS210,1,2.0
6820-R2-67335-03,PS221,1,2.0
6820-R2-67335-03,PS720,1,1.0
6820-R2-67337-01,C76N9VBG,1,3.0
6820-R2-67337-01,CBBPLK4,1,1.0
6820-R2-67337-01,PS210,1,1.0
6820-R2-67337-01,PS221,1,1.0
6820-R2-67338-01,PS719,1,1.0
6820-R2-67338-03,C2KV11G,1,1.0
6820-R2-67338-03,C76SPABV,1,2.0
6820-R2-67338-03,CBBPLK4,1,1.0
6820-R2-67338-03,PS210,1,1.0
6820-R2-67339-02,C2KV11G,1,1.0
6820-R2-67339-02,C76SPABV,1,2.0
6820-R2-67339-02,CBBPLK4,1,1.0
6820-R2-67339-02,PS211,1,1.0
6820-R2-67340-01,PS204,1,1.0
6820-R2-67340-01,PS205,1,3.0
6820-R2-67340-01,PS717,1,1.0
6820-R2-67340-02,PS204,1,3.0
6820-R2-67340-02,PS205,1,1.0
6820-R2-67340-02,PS721,1,1.0
6820-R2-67340-03,C76SPABV,1,2.0
6820-R2-67340-03,CBBPLK4,1,1.0
6820-R2-67342-02,C2KV11G,1,1.0
6820-R2-67342-02,C76SPABV,1,2.0
6820-R2-67342-02,CBBPLK4,1,1.0
6820-R2-67342-02,PS210,1,1.0
6820-R2-67343-01,C76KFFTD,1,10.3
6820-R2-67343-01,C7BP5GGW,1,2.0
6820-R2-67343-01,PS212,1,1.0
6820-R2-67343-02,C76KFFTD,1,16.5
6820-R2-67343-02,C7BP5GGW,1,6.0
6820-R2-67343-02,PS212,1,1.0
6820-R2-67343-03,C6S4K87U,1/2,8.0
6820-R2-67343-03,C76KFFTD,1,1.3
6820-R2-67343-03,C76KHSRH,1,2.0
6820-R2-67343-03,C76KHSRR,1,1.0
6820-R2-67343-03,C7BP51NZ,1,1.0
6820-R2-67343-03,C7CT1ZFH,1,2.0
6820-R2-67343-03,C7W2U48L,1,2.0
6820-R2-67343-03,CEZMKL0,1,2.0
6820-R2-67343-03,PS212,1,1.0
6820-R2-67343-03,PS221,1,1.0
6820-R2-67343-03,PS732,1,1.0
6820-R2-67344-02,C6S4K87U,1/2,8.0
6820-R2-67344-02,C76KFFTD,1,1.1
6820-R2-67344-02,C76KHSRH,1,2.0
6820-R2-67344-02,C76KHSRR,1,1.0
6820-R2-67344-02,C7BP51NZ,1,1.0
6820-R2-67344-02,C7CT1ZFH,1,2.0
6820-R2-67344-02,C7W2U48L,1,1.0
6820-R2-67344-02,CEZMKL0,1,2.0
6820-R2-67344-02,PS212,1,1.0
6820-R2-67344-02,PS221,1,1.0
6820-R2-67344-02,PS732,1,1.0
6820-R2-67345-01,C76KFFTD,1,19.9
6820-R2-67345-01,C7BP5GGW,1,5.0
6820-R2-67345-01,PS201,1,1.0
6820-R2-67345-01,PS212,1,1.0
6820-R2-67345-01,PS410,1,1.0
6820-R2-67345-01,PS433,1,2.0
6820-R2-67345-02,C76KFFTD,1,40.7
6820-R2-67345-02,C7BP5GGW,1,7.0
6820-R2-67345-02,C7BP5GZC,1,1.0
6820-R2-67345-02,PS201,1,3.0
6820-R2-67345-02,PS212,1,2.0
6820-R2-67345-02,PS401,1,1.0
6820-R2-67345-02,PS413,1,1.0
6820-R2-67345-02,PS433,1,3.0
6820-R2-67345-02,PS715,1,1.0
6820-R2-67345-02,PS731,1,1.0
6820-R2-67345-03,C6S4K87U,1/2,8.0
6820-R2-67345-03,C76KFFTD,1,8.6
6820-R2-67345-03,C76KHSRH,1,2.0
6820-R2-67345-03,C76KHSRR,1,1.0
6820-R2-67345-03,C7BP51NZ,1,1.0
6820-R2-67345-03,C7BP5GGW,1,2.0
6820-R2-67345-03,C7CT1ZFH,1,2.0
6820-R2-67345-03,C7W2U48L,1,2.0
6820-R2-67345-03,CEZMKL0,1,3.0
6820-R2-67345-03,PS212,1,2.0
6820-R2-67345-03,PS221,1,2.0
6820-R2-67345-03,PS732,1,1.0
6820-R2-67347-01,C76KFFTD,1,8.1
6820-R2-67347-01,C7BP5GGW,1,2.0
6820-R2-67347-01,PS212,1,1.0
6820-R2-67347-02,C6S4K87U,1/2,8.0
6820-R2-67347-02,C76KFFTD,1,12.2
6820-R2-67347-02,C76KHSRH,1,2.0
6820-R2-67347-02,C76KHSRR,1,1.0
6820-R2-67347-02,C7BP51NZ,1,1.0
6820-R2-67347-02,C7CT1ZFH,1,2.0
6820-R2-67347-02,C7W2U48L,1,2.0
6820-R2-67347-02,CEZMKL0,1,2.0
6820-R2-67347-02,PS212,1,1.0
6820-R2-67347-02,PS221,1,1.0
6820-R2-67347-02,PS732,1,1.0
6820-R2-67348-01,C6S4K87U,1/2,4.0
6820-R2-67348-01,C7CT1ZFH,1,1.0
6820-R2-67348-01,CEZCLUC,1,0.5
6820-R2-67348-01,CFG8U73Y,1,1.0
6820-R2-67348-01,PS205,16,3.0
6820-R2-67348-01,PS413,16,1.0
6820-R2-67350-01,C6SBWZEZ,20,1.0
6820-R2-67350-01,PS204,20,1.0
6820-R2-67350-01,PS921,20,1.0
6820-R2-67350-03,C6S4K8C8,7/8,12.0
6820-R2-67350-03,C6SBWZEU,12,1.0
6820-R2-67350-03,PS203,20,1.0
6820-R2-67350-03,PS205,20,2.0
6820-R2-67351-01,C6SBWZEU,12,1.0
6820-R2-67351-01,PS205,16,2.0
6820-R2-67351-01,PS413,16,2.0
6820-R2-67356-01,C1DMWEK,1,1.0
6820-R2-67356-01,C6SBR43V,1,4.4
6820-R2-67356-01,C76KHVWS,1/2,1.0
6820-R2-67356-01,CZ2LEZE,1,1.0
6820-R2-67356-01,PS210,1,1.0
6820-R2-67356-01,PS221,1,1.0
6820-R2-67356-01,PS713,1,1.0
6820-R2-67358-01,C58PVZ7V,2,1.0
6820-R2-67358-01,C766B01H,2,1.0
6820-R2-67358-01,C76S9AH4,2,1.0
6820-R2-67358-01,PS201,2,2.0
6820-R2-67358-01,PS210,2,1.0
6820-R2-67358-01,PS221,2,1.0
6820-R2-67358-01,PS433,2,3.0
6820-R2-67359-01,PS204,2,1.0
6820-R2-67359-01,PS401,2,1.0
6820-R2-67359-01,PS709,2,1.0
6820-R2-67359-02,PS204,2,4.0
6820-R2-67359-02,PS206,2,1.0
6820-R2-67359-03,PS201,2,1.0
6820-R2-67359-03,PS204,2,1.0
6820-R2-67360-01,C6S4K88R,5/8,16.0
6820-R2-67360-01,C6SDVYKZ,2,1.0
6820-R2-67360-01,C76KFFWK,2,7.1
6820-R2-67360-01,C7BP5GGZ,2,2.0
6820-R2-67360-01,C7CT1ZFS,2,4.0
6820-R2-67360-01,C7CTALFX,2,1.0
6820-R2-67360-01,C7W2U48P,2,4.0
6820-R2-67360-01,PS433,2,1.0
6820-R2-67360-01,PS712,2,1.0
6820-R2-67360-02,C76KFFWK,2,24.5
6820-R2-67360-02,C7BP5GGZ,2,2.0
6820-R2-67360-02,PS201,2,2.0
6820-R2-67360-02,PS212,2,1.0
6820-R2-67360-02,PS433,2,2.0
6820-R2-67360-02,PS721,2,1.0
6820-R2-67360-03,C76KFFWK,2,13.9
6820-R2-67360-03,C7BP5GGZ,2,3.0
6820-R2-67360-03,PS201,2,1.0
6820-R2-67360-03,PS433,2,1.0
6820-R2-67360-03,PS709,2,1.0
6820-R2-67360-04,C76KFFWK,2,38.0
6820-R2-67360-04,C7BP51NY,2,1.0
6820-R2-67360-04,C7BP5GGZ,2,1.0
6820-R2-67360-04,PS201,2,4.0
6820-R2-67360-04,PS433,2,4.0
6820-R2-67360-05,C76KFFWK,2,23.8
6820-R2-67360-05,C7BP51NY,2,1.0
6820-R2-67360-05,C7BP5GGZ,2,1.0
6820-R2-67360-05,C7BP5GZF,2,1.0
6820-R2-67360-05,PS201,2,1.0
6820-R2-67360-05,PS212,2,1.0
6820-R2-67360-05,PS433,2,1.0
6820-R2-67360-05,PS713,2,1.0
6820-R2-67360-06,C76KFFWK,2,5.1
6820-R2-67360-06,C7BP5GGZ,2,3.0
6820-R2-67360-06,PS201,2,1.0
6820-R2-67360-06,PS433,2,1.0
6820-R2-67360-06,PS709,2,1.0
6820-R2-67361-01,C6S4K8BF,3/4,24.0
6820-R2-67361-01,C7CX7CST,6,2.0
6820-R2-67361-01,C7W3AL3L,1,2.0
6820-R2-67361-01,C99ZZ9DE,1,1.0
6820-R2-67361-01,CFG6WM6Z,1,1.0
6820-R2-67361-01,PS214,6,1.0
6820-R2-67361-02,C6S4K88R,5/8,16.0
6820-R2-67361-02,C6S4K8BF,3/4,24.0
6820-R2-67361-02,C7CX7CSL,2,2.0
6820-R2-67361-02,C7CX7CST,6,2.0
6820-R2-67361-02,C99ZZ9EJ,6,1.0
6820-R2-67361-02,C9YR0U5Z,2,1.0
6820-R2-67361-02,PS204,6,2.0
6820-R2-67361-02,PS206,6,1.0
6820-R2-67361-02,PS209,6,1.0
6820-R2-67361-02,PS214,6,1.0
6820-R2-67361-02,PS406,6,1.0
6820-R2-67361-03,C6S4K88N,5/8,8.0
6820-R2-67361-03,C6S4K8BD,3/4,8.0
6820-R2-67361-03,C7CX7CSR,4,1.0
6820-R2-67361-03,C7W3AL3L,1,2.0
6820-R2-67361-03,C99ZZ9DE,1,1.0
6820-R2-67361-03,CFG6WM6Z,1,1.0
6820-R2-67361-04,C6S4K88N,5/8,8.0
6820-R2-67361-04,C6S4K8BD,3/4,8.0
6820-R2-67361-04,C7CX7CSR,4,1.0
6820-R2-67361-04,C7W3AL3L,1,2.0
6820-R2-67361-04,C99ZZ9DE,1,1.0
6820-R2-67361-04,CFG6WM6Z,1,1.0
6820-R2-67361-04,PS209,6,1.0
6820-R2-67361-04,PS214,6,1.0
6820-R2-67361-05,C6S4K88N,5/8,8.0
6820-R2-67361-05,C6S4K8BF,3/4,72.0
6820-R2-67361-05,C7CX7CST,6,6.0
6820-R2-67361-05,C7W3AL3L,1,2.0
6820-R2-67361-05,C99ZZ9DE,1,1.0
6820-R2-67361-05,C99ZZ9EJ,6,2.0
6820-R2-67361-05,CFG6WM6Z,1,1.0
6820-R2-67361-05,PS209,6,1.0
6820-R2-67361-05,PS214,6,1.0
6820-R2-67367-01,C6S4K8CU,7/8,12.0
6820-R2-67367-01,C7SMNYW5,12,1.0
6820-R2-67367-01,PS413,12,1.0
6820-R2-67367-01,PS431,12,1.0
6820-R2-67367-01,PS902,12,1.0
6820-R2-67367-02,PS201,12,1.0
6820-R2-67367-02,PS433,12,1.0
6820-R2-67367-03,C6S4K8BD,3/4,8.0
6820-R2-67367-03,C7SMNYWH,8,1.0
6820-R2-67367-03,PS205,12,1.0
6820-R2-67369-01,PS201,1,2.0
6820-R2-67369-01,PS407,1,1.0
6820-R2-67369-01,PS434,1,1.0
6820-R2-67369-02,C6S4K87U,1/2,12.0
6820-R2-67369-02,C76SPABT,1/2,1.0
6820-R2-67369-02,C7CT1ZFH,1,3.0
6820-R2-67369-02,CBBPLK2,1/2,1.0
6820-R2-67369-02,PS201,1,1.0
6820-R2-67369-02,PS433,1,1.0
6820-R2-67369-02,PS709,1,1.0
6820-R2-67370-01,C6S4K87U,1/2,4.0
6820-R2-67370-01,C6S4K88N,5/8,4.0
6820-R2-67370-01,C76KFFSD,3/4,9.1
6820-R2-67370-01,C7BP5GGV,3/4,3.0
6820-R2-67370-01,C7CT1ZFG,3/4,1.0
6820-R2-67370-01,C7W2U48K,3/4,2.0
6820-R2-67370-01,C7W2U48S,3/4,1.0
6820-R2-67370-01,C7W3AL3K,3/4,1.0
6820-R2-67370-01,PS201,3/4,1.0
6820-R2-67370-01,PS433,3/4,1.0
6820-R2-67370-01,PS709,3/4,1.0
6820-R2-67371-01,C6S4K87U,1/2,4.0
6820-R2-67371-01,C6S4K88N,5/8,4.0
6820-R2-67371-01,C76KFFSD,3/4,9.1
6820-R2-67371-01,C7BP5GGV,3/4,3.0
6820-R2-67371-01,C7CT1ZFG,3/4,1.0
6820-R2-67371-01,C7W2U48K,3/4,2.0
6820-R2-67371-01,C7W2U48S,3/4,1.0
6820-R2-67371-01,C7W3AL3K,3/4,1.0
6820-R2-67371-01,PS201,3/4,1.0
6820-R2-67371-01,PS433,3/4,1.0
6820-R2-67371-01,PS709,3/4,1.0
6820-R2-67372-01,C6S4K87U,1/2,4.0
6820-R2-67372-01,C6S4K88N,5/8,4.0
6820-R2-67372-01,C76KFFSD,3/4,9.1
6820-R2-67372-01,C7BP5GGV,3/4,3.0
6820-R2-67372-01,C7CT1ZFG,3/4,1.0
6820-R2-67372-01,C7W2U48K,3/4,2.0
6820-R2-67372-01,C7W2U48S,3/4,1.0
6820-R2-67372-01,C7W3AL3K,3/4,1.0
6820-R2-67372-01,PS201,3/4,1.0
6820-R2-67372-01,PS433,3/4,1.0
6820-R2-67372-01,PS709,3/4,1.0
6820-R2-67373-01,C6S4K87U,1/2,12.0
6820-R2-67373-01,C76KFFSD,3/4,24.5
6820-R2-67373-01,C7BP5GGV,3/4,5.0
6820-R2-67373-01,C7CT1ZFG,3/4,3.0
6820-R2-67373-01,C7W2U48K,3/4,5.0
6820-R2-67373-01,PS201,3/4,4.0
6820-R2-67373-01,PS433,3/4,4.0
6820-R2-67373-01,PS709,3/4,4.0
6820-R2-67374-01,C6S4K87U,1/2,8.0
6820-R2-67374-01,C6S4K88N,5/8,4.0
6820-R2-67374-01,C76KFFSD,3/4,24.5
6820-R2-67374-01,C7BP5GGV,3/4,5.0
6820-R2-67374-01,C7CT1ZFG,3/4,2.0
6820-R2-67374-01,C7W2U48K,3/4,4.0
6820-R2-67374-01,C7W2U48S,3/4,1.0
6820-R2-67374-01,C7W3AL3K,3/4,1.0
6820-R2-67374-01,PS201,3/4,4.0
6820-R2-67374-01,PS433,3/4,4.0
6820-R2-67374-01,PS709,3/4,4.0
6820-R2-67375-01,C6S4K87V,1/2,4.0
6820-R2-67376-01,C6S4K88N,5/8,4.0
6820-R2-67376-01,C76SPABV,1,1.0
6820-R2-67376-01,C7W3AL3L,1,1.0
6820-R2-67376-01,CBBPLK4,1,1.0
6820-R2-67376-01,CEZCLUC,1,0.3
6820-R2-67376-01,CFG8U743,1,1.0
6820-R2-67377-01,C6S4K87V,1/2,4.0
6820-R2-67379-01,C6S4K87U,1/2,4.0
6820-R2-67379-01,C7CT1ZFH,1,1.0
6820-R2-67379-01,PS201,1,2.0
6820-R2-67379-01,PS433,1,4.0
6820-R2-67379-01,PS709,1,2.0
6820-R2-67380-01,C6S4K8B9,3/4,8.0
6820-R2-67380-02,C6S4K8B9,3/4,8.0
6820-R2-67380-03,C12GGPSR,3/4,1.0
6820-R2-67380-03,C6S4K88N,5/8,4.0
6820-R2-67380-03,C80U8UAZ,3/4,1.0
6820-R2-67380-03,CBBPLK3,3/4,1.0
6820-R2-67380-03,CFG70GLP,3/4,1.0
6820-R2-67380-03,CGKFEG5U,3/4,1.0
6820-R2-67380-04,C12GGPSR,3/4,1.0
6820-R2-67380-04,C6S4K88N,5/8,4.0
6820-R2-67380-04,C80U8UAZ,3/4,1.0
6820-R2-67380-04,CBBPLK3,3/4,1.0
6820-R2-67380-04,CFG70GLP,3/4,1.0
6820-R2-67380-04,CGKFEG5U,3/4,1.0
6820-R2-67381-01,C6S4K87V,1/2,16.0
6820-R2-67381-02,C6S4K87V,1/2,12.0
6820-R2-67381-03,C2KV10X,3/4,1.0
6820-R2-67381-03,C6S4K87U,1/2,4.0
6820-R2-67381-03,C76SPABU,3/4,1.0
6820-R2-67381-03,C7CT1ZFG,3/4,1.0
6820-R2-67381-03,CBBPLK3,3/4,1.0
6820-R2-67381-03,CFG8U73X,3/4,1.0
6820-R2-67381-04,C2KV10X,3/4,1.0
6820-R2-67381-04,C6S4K87U,1/2,4.0
6820-R2-67381-04,C76SPABU,3/4,1.0
6820-R2-67381-04,C7CT1ZFG,3/4,1.0
6820-R2-67381-04,CBBPLK3,3/4,1.0
6820-R2-67381-04,CFG8U73X,3/4,1.0
6820-R2-67382-01,C6S4K8B9,3/4,4.0
6820-R2-67382-01,C6S4K8BJ,3/4,4.0
